TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
311,1.70,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
331,1.70,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
351,1.70,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
3162,1.70,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
3172,1.70,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
3192,1.70,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
3201,1.70,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
3182,1.70,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
3202,1.70,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
401,1.60,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
411,1.60,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
3181,1.70,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
3191,1.70,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
402,1.60,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
421,1.60,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
3161,1.70,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
431,1.60,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
441,1.60,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
3171,1.70,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
422,1.60,0.20,0.10,0.10,0.10,0.000000052,1000,0.00,
412,1.60,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
432,1.60,0.30,0.10,0.10,0.10,0.000000052,1000,0.00,
462,1.60,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
481,1.60,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
442,1.60,0.40,0.10,0.10,0.10,0.000000052,1000,0.00,
491,1.60,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
4121,1.60,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
4101,1.60,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
4112,1.60,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
452,1.60,0.50,0.10,0.10,0.10,0.000000052,1000,0.00,
471,1.60,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
461,1.60,0.60,0.10,0.10,0.10,0.000000052,1000,0.00,
4102,1.60,1.00,0.10,0.10,0.10,0.000000052,1000,0.00,
4141,1.60,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
4151,1.60,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
4161,1.60,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
4122,1.60,1.20,0.10,0.10,0.10,0.000000052,1000,0.00,
4152,1.60,1.50,0.10,0.10,0.10,0.000000052,1000,0.00,
4132,1.60,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
4171,1.60,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
472,1.60,0.70,0.10,0.10,0.10,0.000000052,1000,0.00,
482,1.60,0.80,0.10,0.10,0.10,0.000000052,1000,0.00,
4111,1.60,1.10,0.10,0.10,0.10,0.000000052,1000,0.00,
492,1.60,0.90,0.10,0.10,0.10,0.000000052,1000,0.00,
4131,1.60,1.30,0.10,0.10,0.10,0.000000052,1000,0.00,
4162,1.60,1.60,0.10,0.10,0.10,0.000000052,1000,0.00,
4142,1.60,1.40,0.10,0.10,0.10,0.000000052,1000,0.00,
4181,1.60,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
4172,1.60,1.70,0.10,0.10,0.10,0.000000052,1000,0.00,
4182,1.60,1.80,0.10,0.10,0.10,0.000000052,1000,0.00,
4191,1.60,1.90,0.10,0.10,0.10,0.000000052,1000,0.00,
4201,1.60,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
4202,1.60,2.00,0.10,0.10,0.10,0.000000052,1000,0.00,
511,1.50,0.10,0.10,0.10,0.10,0.000000052,1000,0.00,
501,1.50,0.00,0.10,0.10,0.10,0.000000052,1000,0.00,
