TRIALNO,COST_WEIGHT,RISK_WEIGHT,DISTANCE_WEIGHT,SPEED_WEIGHT,POP_WEIGHT,HEU_WEIGHT,TOTAL_POP,ROAD_DEATH_PROB,
72,0.10,0.70,0.10,0.10,1.00,0.000000050,1000,0.00,
82,0.10,0.80,0.10,0.10,1.00,0.000000050,1000,0.00,
172,0.10,0.70,0.10,0.10,0.90,0.000000050,1000,0.00,
92,0.10,0.90,0.10,0.10,1.00,0.000000050,1000,0.00,
191,0.10,0.90,0.10,0.10,0.90,0.000000050,1000,0.00,
182,0.10,0.80,0.10,0.10,0.90,0.000000050,1000,0.00,
122,0.10,0.20,0.10,0.10,0.90,0.000000050,1000,0.00,
152,0.10,0.50,0.10,0.10,0.90,0.000000050,1000,0.00,
202,0.10,0.00,0.10,0.10,0.80,0.000000050,1000,0.00,
171,0.10,0.70,0.10,0.10,0.90,0.000000050,1000,0.00,
201,0.10,0.00,0.10,0.10,0.80,0.000000050,1000,0.00,
221,0.10,0.20,0.10,0.10,0.80,0.000000050,1000,0.00,
211,0.10,0.10,0.10,0.10,0.80,0.000000050,1000,0.00,
161,0.10,0.60,0.10,0.10,0.90,0.000000050,1000,0.00,
141,0.10,0.40,0.10,0.10,0.90,0.000000050,1000,0.00,
192,0.10,0.90,0.10,0.10,0.90,0.000000050,1000,0.00,
1102,0.10,1.00,0.10,0.10,0.90,0.000000050,1000,0.00,
231,0.10,0.30,0.10,0.10,0.80,0.000000050,1000,0.00,
1101,0.10,1.00,0.10,0.10,0.90,0.000000050,1000,0.00,
222,0.10,0.20,0.10,0.10,0.80,0.000000050,1000,0.00,
181,0.10,0.80,0.10,0.10,0.90,0.000000050,1000,0.00,
241,0.10,0.40,0.10,0.10,0.80,0.000000050,1000,0.00,
252,0.10,0.50,0.10,0.10,0.80,0.000000050,1000,0.00,
271,0.10,0.70,0.10,0.10,0.80,0.000000050,1000,0.00,
262,0.10,0.60,0.10,0.10,0.80,0.000000050,1000,0.00,
261,0.10,0.60,0.10,0.10,0.80,0.000000050,1000,0.00,
272,0.10,0.70,0.10,0.10,0.80,0.000000050,1000,0.00,
242,0.10,0.40,0.10,0.10,0.80,0.000000050,1000,0.00,
232,0.10,0.30,0.10,0.10,0.80,0.000000050,1000,0.00,
281,0.10,0.80,0.10,0.10,0.80,0.000000050,1000,0.00,
291,0.10,0.90,0.10,0.10,0.80,0.000000050,1000,0.00,
282,0.10,0.80,0.10,0.10,0.80,0.000000050,1000,0.00,
292,0.10,0.90,0.10,0.10,0.80,0.000000050,1000,0.00,
2102,0.10,1.00,0.10,0.10,0.80,0.000000050,1000,0.00,
2101,0.10,1.00,0.10,0.10,0.80,0.000000050,1000,0.00,
301,0.10,0.00,0.10,0.10,0.70,0.000000050,1000,0.00,
311,0.10,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
302,0.10,0.00,0.10,0.10,0.70,0.000000050,1000,0.00,
321,0.10,0.20,0.10,0.10,0.70,0.000000050,1000,0.00,
312,0.10,0.10,0.10,0.10,0.70,0.000000050,1000,0.00,
331,0.10,0.30,0.10,0.10,0.70,0.000000050,1000,0.00,
341,0.10,0.40,0.10,0.10,0.70,0.000000050,1000,0.00,
342,0.10,0.40,0.10,0.10,0.70,0.000000050,1000,0.00,
332,0.10,0.30,0.10,0.10,0.70,0.000000050,1000,0.00,
351,0.10,0.50,0.10,0.10,0.70,0.000000050,1000,0.00,
361,0.10,0.60,0.10,0.10,0.70,0.000000050,1000,0.00,
371,0.10,0.70,0.10,0.10,0.70,0.000000050,1000,0.00,
322,0.10,0.20,0.10,0.10,0.70,0.000000050,1000,0.00,
362,0.10,0.60,0.10,0.10,0.70,0.000000050,1000,0.00,
352,0.10,0.50,0.10,0.10,0.70,0.000000050,1000,0.00,
381,0.10,0.80,0.10,0.10,0.70,0.000000050,1000,0.00,
382,0.10,0.80,0.10,0.10,0.70,0.000000050,1000,0.00,
372,0.10,0.70,0.10,0.10,0.70,0.000000050,1000,0.00,
3101,0.10,1.00,0.10,0.10,0.70,0.000000050,1000,0.00,
391,0.10,0.90,0.10,0.10,0.70,0.000000050,1000,0.00,
3102,0.10,1.00,0.10,0.10,0.70,0.000000050,1000,0.00,
392,0.10,0.90,0.10,0.10,0.70,0.000000050,1000,0.00,
411,0.10,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
402,0.10,0.00,0.10,0.10,0.60,0.000000050,1000,0.00,
412,0.10,0.10,0.10,0.10,0.60,0.000000050,1000,0.00,
421,0.10,0.20,0.10,0.10,0.60,0.000000050,1000,0.00,
422,0.10,0.20,0.10,0.10,0.60,0.000000050,1000,0.00,
432,0.10,0.30,0.10,0.10,0.60,0.000000050,1000,0.00,
431,0.10,0.30,0.10,0.10,0.60,0.000000050,1000,0.00,
441,0.10,0.40,0.10,0.10,0.60,0.000000050,1000,0.00,
461,0.10,0.60,0.10,0.10,0.60,0.000000050,1000,0.00,
451,0.10,0.50,0.10,0.10,0.60,0.000000050,1000,0.00,
442,0.10,0.40,0.10,0.10,0.60,0.000000050,1000,0.00,
471,0.10,0.70,0.10,0.10,0.60,0.000000050,1000,0.00,
481,0.10,0.80,0.10,0.10,0.60,0.000000050,1000,0.00,
452,0.10,0.50,0.10,0.10,0.60,0.000000050,1000,0.00,
462,0.10,0.60,0.10,0.10,0.60,0.000000050,1000,0.00,
501,0.10,0.00,0.10,0.10,0.50,0.000000050,1000,0.00,
491,0.10,0.90,0.10,0.10,0.60,0.000000050,1000,0.00,
4101,0.10,1.00,0.10,0.10,0.60,0.000000050,1000,0.00,
482,0.10,0.80,0.10,0.10,0.60,0.000000050,1000,0.00,
472,0.10,0.70,0.10,0.10,0.60,0.000000050,1000,0.00,
4102,0.10,1.00,0.10,0.10,0.60,0.000000050,1000,0.00,
492,0.10,0.90,0.10,0.10,0.60,0.000000050,1000,0.00,
512,0.10,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
531,0.10,0.30,0.10,0.10,0.50,0.000000050,1000,0.00,
541,0.10,0.40,0.10,0.10,0.50,0.000000050,1000,0.00,
522,0.10,0.20,0.10,0.10,0.50,0.000000050,1000,0.00,
561,0.10,0.60,0.10,0.10,0.50,0.000000050,1000,0.00,
562,0.10,0.60,0.10,0.10,0.50,0.000000050,1000,0.00,
542,0.10,0.40,0.10,0.10,0.50,0.000000050,1000,0.00,
552,0.10,0.50,0.10,0.10,0.50,0.000000050,1000,0.00,
571,0.10,0.70,0.10,0.10,0.50,0.000000050,1000,0.00,
581,0.10,0.80,0.10,0.10,0.50,0.000000050,1000,0.00,
591,0.10,0.90,0.10,0.10,0.50,0.000000050,1000,0.00,
572,0.10,0.70,0.10,0.10,0.50,0.000000050,1000,0.00,
601,0.10,0.00,0.10,0.10,0.40,0.000000050,1000,0.00,
611,0.10,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
521,0.10,0.20,0.10,0.10,0.50,0.000000050,1000,0.00,
592,0.10,0.90,0.10,0.10,0.50,0.000000050,1000,0.00,
511,0.10,0.10,0.10,0.10,0.50,0.000000050,1000,0.00,
631,0.10,0.30,0.10,0.10,0.40,0.000000050,1000,0.00,
551,0.10,0.50,0.10,0.10,0.50,0.000000050,1000,0.00,
622,0.10,0.20,0.10,0.10,0.40,0.000000050,1000,0.00,
612,0.10,0.10,0.10,0.10,0.40,0.000000050,1000,0.00,
582,0.10,0.80,0.10,0.10,0.50,0.000000050,1000,0.00,
5102,0.10,1.00,0.10,0.10,0.50,0.000000050,1000,0.00,
621,0.10,0.20,0.10,0.10,0.40,0.000000050,1000,0.00,
602,0.10,0.00,0.10,0.10,0.40,0.000000050,1000,0.00,
671,0.10,0.70,0.10,0.10,0.40,0.000000050,1000,0.00,
681,0.10,0.80,0.10,0.10,0.40,0.000000050,1000,0.00,
642,0.10,0.40,0.10,0.10,0.40,0.000000050,1000,0.00,
672,0.10,0.70,0.10,0.10,0.40,0.000000050,1000,0.00,
652,0.10,0.50,0.10,0.10,0.40,0.000000050,1000,0.00,
661,0.10,0.60,0.10,0.10,0.40,0.000000050,1000,0.00,
651,0.10,0.50,0.10,0.10,0.40,0.000000050,1000,0.00,
691,0.10,0.90,0.10,0.10,0.40,0.000000050,1000,0.00,
641,0.10,0.40,0.10,0.10,0.40,0.000000050,1000,0.00,
662,0.10,0.60,0.10,0.10,0.40,0.000000050,1000,0.00,
692,0.10,0.90,0.10,0.10,0.40,0.000000050,1000,0.00,
682,0.10,0.80,0.10,0.10,0.40,0.000000050,1000,0.00,
742,0.10,0.40,0.10,0.10,0.30,0.000000050,1000,0.00,
721,0.10,0.20,0.10,0.10,0.30,0.000000050,1000,0.00,
711,0.10,0.10,0.10,0.10,0.30,0.000000050,1000,0.00,
751,0.10,0.50,0.10,0.10,0.30,0.000000050,1000,0.00,
701,0.10,0.00,0.10,0.10,0.30,0.000000050,1000,0.00,
702,0.10,0.00,0.10,0.10,0.30,0.000000050,1000,0.00,
732,0.10,0.30,0.10,0.10,0.30,0.000000050,1000,0.00,
781,0.10,0.80,0.10,0.10,0.30,0.000000050,1000,0.00,
7102,0.10,1.00,0.10,0.10,0.30,0.000000050,1000,0.00,
752,0.10,0.50,0.10,0.10,0.30,0.000000050,1000,0.00,
722,0.10,0.20,0.10,0.10,0.30,0.000000050,1000,0.00,
